Property type,Price,Suburb,Postcode,Display address,Bedrooms,Bathrooms,Carspaces,Headline,Description,url,Advert type,Advert name,Advert contact
ApartmentUnitFlat,$380,WENTWORTHVILLE,2145,"6/36 Lane Street, Wentworthville",2.0,1.0,1,FULLY RENOVATED TWO BEDROOM UNIT IN PRIME LOCATION,"Situated in a prime location we have this two bedroom unit. Neat kitchen with electric cooking, open plan living and dining combined and balcony. Two decent sized bedrooms both including mirrored built in wardrobes to both, main bathroom ...",http://www.domain.com.au/6-36-lane-street-wentworthville-nsw-2145-14087556,Agency,Richardson & Wrench Parramatta,Lauran Harvey
ApartmentUnitFlat,$380,WENTWORTHVILLE,2145,"4/36 Lane Street, Wentworthville",2.0,1.0,1,FULLY RENOVATED TWO BEDROOM UNIT IN PRIME LOCATION,"Situated in a prime location we have this fully refurbished two bedroom unit. Brand new kitchen with electric cooking, freshly painted and brand new carpet throughout.   Two decent sized bedrooms both including mirrored built in wardrobes...",http://www.domain.com.au/4-36-lane-street-wentworthville-nsw-2145-14087239,Agency,Richardson & Wrench Parramatta,"Richardson & Wrench Office, Lauran Harvey"
ApartmentUnitFlat,$380,WENTWORTHVILLE,2145,"7/36 Lane Street, Wentworthville",2.0,1.0,1,RENOVATED TWO BEDROOM UNIT IN PRIME LOCATION,Situated in a prime location we have this fully refurbished two bedroom unit. Modern kitchen with electric cooking and tiled throughout. Freshly painted and brand new carpet throughout the unit.  Two bedrooms both including mirrored buil...,http://www.domain.com.au/7-36-lane-street-wentworthville-nsw-2145-14030807,Agency,Richardson & Wrench Parramatta,Alex  Abboud
Villa,$400,SOUTH WENTWORTHVILLE,2145,"4/84 Hampden Road, South Wentworthville",2.0,1.0,1,Bright & Spacious,"Set in a small and well maintained complex is this single level villa refurbished throughout. New carpets, blinds and paint provide an as new finish sure to impress.  * Generous bedrooms with  built-ins to main * Open plan lounge and di...",http://www.domain.com.au/4-84-hampden-road-south-wentworthville-nsw-2145-11045722,Agency,Intelligent Property Services,"Jasmine Oppy, Ely Slan"
ApartmentUnitFlat,$400 Renovated 2 bedrooms with lock up garage,WESTMEAD,2145,"11/4-6 Caroline Street, Westmead",2.0,1.0,1,"Quiet yet, Convenient","** Email agent to register the inspection ** ~ Spacious ~ Newly renovated unit in corporate 2 bedrooms, 1 authentic bathroom with separate bath and shower, an exquisite kitchen with quality appliances, balcony, a spacious living/dining a...",http://www.domain.com.au/11-4-6-caroline-street-westmead-nsw-2145-13698751,Agency,My Home Real Estate,Francisco Ribeiro
Duplex,$395,WENTWORTHVILLE,2145,"2/27 Page Street, Wentworthville",2.0,1.0,1,Charming duplex in ultra convenient location,"Situated in a quiet setting, this well duplex home provides a light filled haven and is dedicated to the ultimate in family living and comfort. Situated close to buses, trains and great local schools and is within easy reach of Westmead Ho...",http://www.domain.com.au/2-27-page-street-wentworthville-nsw-2145-14025105,Agency,McGrath Property Management (West),"Tanya Eleftheriou, John Byrnes"
ApartmentUnitFlat,$370,WESTMEAD,2145,"6/30 Queens Road, Westmead",2.0,1.0,1,Well positioned apartment,"Set in a prize position, look no further than this spacious two bedroom second floor unit with brand new floating floor boards and Westmead station, hospital and shops nearby this renovated unit offers innovation and convenience.   - Sp...",http://www.domain.com.au/6-30-queens-road-westmead-nsw-2145-14066993,Agency,McGrath Property Management (West),"Anthony Fleming, Simone Bellette"
House,$400 wk,SOUTH WENTWORTHVILLE,2145,"6A VERLIE STREET, South Wentworthville",2.0,1.0,1,GREAT TWO TO THREE BEDROOM HOME AT A BUDGET PRICE,This has to be one of the best villa (granny flat) offered for rent in this area.  FEATURING: * Two to three bedrooms * As new presentation  * Quality tile floors throughout * Air Conditioned * Family size kitchen * Built-in wardro...,http://www.domain.com.au/6a-verlie-street-south-wentworthville-nsw-2145-14086262,Agency,LJ Hooker Greystanes,"Guy Boardman, Alex Sallit"
House,$400 per week,SOUTH WENTWORTHVILLE,2145,"49 Monterey Street, South Wentworthville",3.0,1.0,1,Comfortable Family Home,"Spacious 3 bedroom home with lounge, dining, polished floors throughout, built-in wardrobes in two rooms, internal laundry, separate toilet from the main bathroom, plenty of off street parking and a big backyard. Located in a quiet area, c...",http://www.domain.com.au/49-monterey-street-south-wentworthville-nsw-2145-11571523,Agency,Chansis Real Estate,Ruzica Moses
ApartmentUnitFlat,$400,WENTWORTHVILLE,2145,"3/180-182 Station Street, Wentworthville",2.0,1.0,1,2 Bedroom unit Wentworthville Location,Nice clean modern unit available. Featuring:  * 2 good size bedrooms * Built-in to main bedroom * Spacious Living area * Large balcony * Neat bathroom * Neat kitchen with gas cooking * Internal Laundry  * Security intercom * L/U ...,http://www.domain.com.au/3-180-182-station-street-wentworthville-nsw-2145-14087137,Agency,Ray Wehbe Real Estate,Ray Wehbe
