Property type,Price,Suburb,Postcode,Display address,Bedrooms,Bathrooms,Carspaces,Headline,Description,url,Advert type,Advert name,Advert contact
Duplex,$395,WENTWORTHVILLE,2145,"2/27 Page Street, Wentworthville",2.0,1.0,1,Charming duplex in ultra convenient location,"Situated in a quiet setting, this well duplex home provides a light filled haven and is dedicated to the ultimate in family living and comfort. Situated close to buses, trains and great local schools and is within easy reach of Westmead Ho...",http://www.domain.com.au/2-27-page-street-wentworthville-nsw-2145-14025105,Agency,McGrath Property Management (West),"Tanya Eleftheriou, John Byrnes"
ApartmentUnitFlat,$395,WESTMEAD,2145,"1/191 Hawkesbury Road, Westmead",2.0,1.0,1,Updated Gem in the Heart of Westmead!!,**CLICK EMAIL AGENT TO REGISTER FOR AN INSPECTION**  Fresh on the market is this 2-Bedroom apartment with unparralelled quality in renovation; close to everything in Westmead! Showcasing:  * Gourmet kitchen complete with contemporary s...,http://www.domain.com.au/1-191-hawkesbury-road-westmead-nsw-2145-14017890,Agency,Belle Property Parramatta,Property Management Department
ApartmentUnitFlat,$395,WENTWORTHVILLE,2145,"7/36 Lane Street, Wentworthville",2.0,1.0,1,RENOVATED TWO BEDROOM UNIT IN PRIME LOCATION,OPEN FOR INSPECTION SATURDAY 29TH FEBRUARY AT 10:45-11:00AM  Situated in a prime location we have this fully refurbished two bedroom unit. Modern kitchen with electric cooking and tiled throughout. Freshly painted and brand new carpet t...,http://www.domain.com.au/7-36-lane-street-wentworthville-nsw-2145-14030807,Agency,Richardson & Wrench Parramatta,Alex  Abboud
ApartmentUnitFlat,$390,WESTMEAD,2145,"10/2 Moss Place, Westmead",2.0,1.0,1,"Peaceful Location, Available Now!",Recently renovated two bedroom light filled apartment located close to all amenities. Conveniently located within walking distance to local transport and a short drive to Parramatta CBD and Parramatta Westfield with beautiful Parramatta pa...,http://www.domain.com.au/10-2-moss-place-westmead-nsw-2145-13958247,Agency,LIVREALTY,Aron Korani
ApartmentUnitFlat,$380,WESTMEAD,2145,"4/1 Jessie Street, Westmead",2.0,1.0,1,SPACIOUS 2 BEDROOM APARTMENT WITH FLOORBOARDS INSTALLED & SPLIT AIR CONDITIONER,"This beautifully updated 2 bedroom apartment is located in the heart of Westmead, and within minutes walk to Westmead & Children's Hospital, Parks, Westmead Train Station and the popular Westmead Public School.  This property features: ...",http://www.domain.com.au/4-1-jessie-street-westmead-nsw-2145-14026661,Agency,Belle Property Parramatta,Property Management Department
ApartmentUnitFlat,$375,WESTMEAD,2145,"1/19 Jessie Street, Westmead",2.0,1.0,1,UPDATED APARTMENT IN MEDICAL PRECINCT! MORE MARKETING PHOTOS COMING SOON!,"This apartment is wonderfully nestled between the Westmead Medical Precinct and Parramatta Park just moments from restaurants, cafes, Westmead train station, buses and the University of Western Sydney Parramatta campus.   It's central to...",http://www.domain.com.au/1-19-jessie-street-westmead-nsw-2145-14024055,Agency,Belle Property Parramatta,Property Management Department
Villa,$400,SOUTH WENTWORTHVILLE,2145,"4/84 Hampden Road, South Wentworthville",2.0,1.0,1,Bright & Spacious,"Set in a small and well maintained complex is this single level villa refurbished throughout. New carpets, blinds and paint provide an as new finish sure to impress.  * Generous bedrooms with  built-ins to main * Open plan lounge and di...",http://www.domain.com.au/4-84-hampden-road-south-wentworthville-nsw-2145-11045722,Agency,Intelligent Property Services,Ely Slan
ApartmentUnitFlat,$395.00 weekly,PENDLE HILL,2145,"12/105 STAPLETON STREET, Pendle Hill",2.0,1.0,1,"WALK TO SHOPS, TRAIN!",Situated in a great location within walking distance to shops and trains this bright 2 bedroom unit features;  * Spacious combined lounge and dining * Modern kitchen  * Built in wardrobes to both bedrooms and balcony access * Split sys...,http://www.domain.com.au/12-105-stapleton-street-pendle-hill-nsw-2145-11020568,Agency,Starr Partners Merrylands,RENTAL DEPARTMENT 02 97606677
ApartmentUnitFlat,$380,WESTMEAD,2145,"9/16 Central Avenue, Westmead",2.0,1.0,1,Neat & tidy Apartment in Westmead.,Neat & tidy Apartment in Westmead. Features include:  - 2 Large bedroom - Bright Spacious Lounge room & dining area - Large closed kitchen - Internal Laundry - Built Ins - Secured car park. - Located on top floor. - Electric Gas ...,http://www.domain.com.au/9-16-central-avenue-westmead-nsw-2145-14043219,Agency,Ray Wehbe Real Estate,Ray Wehbe
ApartmentUnitFlat,$350-$370 Per Week,WESTMEAD,2145,"2/43a Grand Avenue, Westmead",2.0,1.0,1,Recently Renovated Kitchen and Bathroom,"*Two bedroom unit     *Recently renovated kitchen     *Recently renovated bathroom     *One bathroom     *Internal laundry facility in bathroom     *Carport     *Close to University, Westmead Hospital     *No Pets.",http://www.domain.com.au/2-43a-grand-avenue-westmead-nsw-2145-14046183,Agency,Best Real Estate,Property Management
ApartmentUnitFlat,$350-$370,WENTWORTHVILLE,2145,"6/12 Emert Street, Wentworthville",2.0,1.0,,Five Minutes to Station!,"Well priced unit in handy spot within easy walking distance to railway station, shopping centre, school and day care and an easy drive to Parramatta and Westmead.   Perfect for commuters and the busy professional or retired person.  Tw...",http://www.domain.com.au/6-12-emert-street-wentworthville-nsw-2145-14046389,Agency,Best Real Estate,Property Management
House,$400-$420 Per Week,GREYSTANES,2145,"67 Old Prospect Road, Greystanes",2.0,1.0,1,2 BEDROOM COTTAGE IN HANDY LOCATION!,"A must to inspect this neat and tidy home,  with timber floors in a super handy location, close to Ringrose Public, Shops, Bus stop and walkable distance to Wentworthville Station. Lovely North facing backyard fully fenced, great for the f...",http://www.domain.com.au/67-old-prospect-road-greystanes-nsw-2145-11208844,Agency,Century 21 Advantage,Leasing Team
ApartmentUnitFlat,$400,WENTWORTHVILLE,2145,"10/51 Garfield Street, Wentworthville",2.0,1.0,2,Renovated throughout!,Neat and renovated two bedroom unit in a nice block.  Featuring: 	Good sized lounge area 	Eat-in renovated gas kitchen 	Built-in robe to main 	Renovated modern bathroom 	New carpet and paint throughout 	Internal laundry 	Balcony ...,http://www.domain.com.au/10-51-garfield-street-wentworthville-nsw-2145-13946691,Agency,Starr Partners Parramatta,Christopher Vieira
House,$400,MAYS HILL,2145,"2 PATRICIA STREET, Mays Hill",2.0,1.0,1,BRICK HOUSE - MAYS HILL,2 bedroom  Carpet through out  1 bathroom  gas cooking  1 LUG + street parking,http://www.domain.com.au/2-patricia-street-mays-hill-nsw-2145-12973895,Agency,Town and Country Real Estate Merrylands,Elie Kaltoum
ApartmentUnitFlat,$400 per week,PENDLE HILL,2145,"12/90-92 Stapleton Street, Pendle Hill",2.0,1.0,1,Immaculate Two Bedroom Unit,This great top level unit features brand new carpet throughout. Two great size bedrooms with built-in and balcony to main bedroom. Very modern spacious gas kitchen with ample cupboard space. Light and airy main bathroom with separate secon...,http://www.domain.com.au/12-90-92-stapleton-street-pendle-hill-nsw-2145-13988492,Agency,Elders Real Estate Toongabbie,Rentals Team
House,$400,SOUTH WENTWORTHVILLE,2145,"44 STAPLETON STREET, South Wentworthville",3.0,1.0,1,MAKE A HOUSE INTO A HOME,"Features Include: - 3 Bedrooms - 1 Bathroom - 1 Secured Parking - Garage - Dining Area - Kitchen Gas Cooking - Polished Timber floorboards - Internal Laundry - Large Backyard - Close to school, shops and public transport  Conta...",http://www.domain.com.au/44-stapleton-street-south-wentworthville-nsw-2145-13482683,Agency,Town and Country Real Estate Merrylands,Elie Kaltoum
ApartmentUnitFlat,$400 PW,PENDLE HILL,2145,"7/90-92 Stapleton Street, Pendle Hill",2.0,1.0,1,2 Bedroom Unit Close To Station!,"Conveniently located and only a short 6 minute walk to Pendle Hill Train Station (according to Google Maps) is this spacious two bedroom unit.   Featuring a combined living and dining area, well-appointed kitchen with gas cooking, two go...",http://www.domain.com.au/7-90-92-stapleton-street-pendle-hill-nsw-2145-13934569,Agency,Laing+Simmons Wentworthville,Rental Enquiries
ApartmentUnitFlat,$400 - $430 Per Week,WENTWORTHVILLE,2145,"9/64 Fullagar Road, Wentworthville",2.0,2.0,1,This delightful sun filled 2 bedroom security unit!,"Positioned within a short stroll from all amenities. Tiled throughout, large open plan lounge and dining overlooking on to balcony, spacious kitchen with ample cupboard space, gas cooking, main bedroom with mirrored built in robes, spa bat...",http://www.domain.com.au/9-64-fullagar-road-wentworthville-nsw-2145-13855662,Agency,Best Real Estate,Property Management
House,$400-$420 Per Week,WENTWORTHVILLE,2145,"10A Smith Street, Wentworthville",2.0,1.0,1,Near New Granny Flat!! Pet Allowed!!,Features:  + 2 bedrooms with built in robes + Modern kitchen with gas cooking and plenty of pantry + Open plan living and dining + Contemporary bathroom with separate shower  + Combined laundry  + Split air conditioning + Separate ...,http://www.domain.com.au/10a-smith-street-wentworthville-nsw-2145-11973726,Agency,Century 21 Advantage,Leasing Team
House,$400 PW - $420 PW application received,GIRRAWEEN,2145,"1 Saxby Street, Girraween",3.0,1.0,1,*** Deposit Taken ***,"This home is priced to move fast. With position close to primary and secondary schools, approx. 3 minutes from Pendle Hill Train Station by car via Gilba Road (as per google maps). Features such as wooden flooring throughout, three bedroom...",http://www.domain.com.au/1-saxby-street-girraween-nsw-2145-13751137,Agency,Laing+Simmons Wentworthville,Rental Enquiries
House,$800.00 per fortnight,GREYSTANES,2145,"23 MACLEAY STREET, Greystanes",3.0,1.0,1,"DEPOSIT PAID!! Quiet location, Ideal family home!!","Be the first to inspect this cute cosy home with floorboards throughout which features: * Three decent size bedrooms, one wardrobe in main bedroom only * Spacious Eat in kitchen with gas cooking * Separate lounge room with air conditio...",http://www.domain.com.au/23-macleay-street-greystanes-nsw-2145-13456416,Agency,Starr Partners Merrylands,RENTAL DEPARTMENT 02 97606677
ApartmentUnitFlat,$400,WENTWORTHVILLE,2145,"6/150 Station Street, Wentworthville",2.0,1.0,1,"Spacious, private and quality Appartment", One week rent free period  Century 21 Infinity is proud to present this spacious unit with decent size bedrooms. It is a ready to move property which includes windows that provide ample of natural sunlight. From the open concept kitchen...,http://www.domain.com.au/6-150-station-street-wentworthville-nsw-2145-13844366,Agency,Century 21 Infinity,"Richa Uppal, Amit Sharma"
ApartmentUnitFlat,$400,WESTMEAD,2145,"4/18-20 Jessie Street, Westmead",2.0,1.0,1,WALKING DISTANCE TO STATION AND WESTMEAD HOSPITAL,"OPEN FOR INSPECTION SATURDAY 29TH FEBRUARY AT 10:30-10:45AM  Situated in a well-presented and secure building, we have this lovely two bedroom unit on the first floor.   Feature include: •	Main bedroom with built-in robe •	Spacious l...",http://www.domain.com.au/4-18-20-jessie-street-westmead-nsw-2145-13930475,Agency,Richardson & Wrench Parramatta,Rebecca Bell
House,$400,CONSTITUTION HILL,2145,"0023 Hart Dr, Constitution Hill",2.0,1.0,1,"3 BEDROOM HOME, POLISHED FLOOR BOARDS, FRESHLY PAINTED, REMOTE CONTROL GARAGE","2 - 3 BEDROOM HOME, POLISHED FLOOR BOARDS, FRESHLY PAINTED, REMOTE CONTROL GARAGE, DISHWASHER, AVAILABLE NOW!  * 2 Bedrooms * Freshly Painted * Freshly Polished Floor Boards * Modern Kitchen * Modern Bathroom * New Blinds * Dishwas...",http://www.domain.com.au/0023-hart-dr-constitution-hill-nsw-2145-13631781,Agency,One Agency Peter Vasiliou,Peter  Vasiliou
House,$400,CONSTITUTION HILL,2145,"023 Hart Drive, Constitution Hill",2.0,1.0,1,"POLISHED FLOOR BOARDS, FRESHLY PAINTED, REMOTE CONTROL GARAGE, DISHWASHER","2 - 3 BEDROOM HOME, POLISHED FLOOR BOARDS, FRESHLY PAINTED, REMOTE CONTROL GARAGE, DISHWASHER, AVAILABLE NOW!  * 2 Bedrooms * Freshly Painted * Freshly Polished Floor Boards * Modern Kitchen * Modern Bathroom * New Blinds * Dishwas...",http://www.domain.com.au/023-hart-drive-constitution-hill-nsw-2145-13621344,Agency,One Agency Peter Vasiliou,Peter  Vasiliou
ApartmentUnitFlat,$400 - $430,WESTMEAD,2145,"6/16-24 Lydbrook Street, Westmead",2.0,1.0,1,Freshly Painted Apartment,"Neat 2 bedroom unit on the second floor of a secure complex close to Westmead Hospital, shops, schools, transport and amenities.    	Spacious combined lounge and dining room 	Generous sized bedrooms with built in wardrobe to main 	Con...",http://www.domain.com.au/6-16-24-lydbrook-street-westmead-nsw-2145-13790528,Agency,Starr Partners Parramatta,Errol Taufia
House,$400 Per Week,GREYSTANES,2145,"65 Old Prospect Road, Greystanes",3.0,2.0,2,3 Bedroom House!!,INCLUSIONS: -Timber floors throughout - Ensuite to main bedroom - Laundry with Storage room - Separate Dining Room - Lounge with ornamental fire place- not working - Good size kitchen with electric cooking - 2 Parking Spaces – Stora...,http://www.domain.com.au/65-old-prospect-road-greystanes-nsw-2145-13973732,Agency,Century 21 Advantage,Leasing Team
ApartmentUnitFlat,LEASED BY ESER PROPERTY,GREYSTANES,2145,"44A Kiama Street, Greystanes",2.0,1.0,,MODERN LIVING!,"This warming two bedroom granny-flat situated in the perfect location close to shops, schools and buses, offering security side access and fully fenced off, its perfect with features that include:    Two great size bedrooms with built-in...",http://www.domain.com.au/44a-kiama-street-greystanes-nsw-2145-13747647,Agency,ESER PROPERTY,"Rachelle Nohra, Sarah Kazzi"
ApartmentUnitFlat,$400,WESTMEAD,2145,"7/29 Queens Road, Westmead",2.0,2.0,1,Two Bedrooms Unit Available for Lease,"This unit is situated in handy position where close to all amenities. 5 minutes walking from University of Western Sydney, train station and shopping centre. Other features includes:  - Two bedroom with timber floor. - Two bathroom with...",http://www.domain.com.au/7-29-queens-road-westmead-nsw-2145-13769245,Agency,Hualei Properties,"Kenny (wenhan) Wu, Hualei Rental"
House,$400,GREYSTANES,2145,"8A Kookaburra Street, Greystanes",2.0,1.0,1,As New,"Move in to this near new modern style granny flat, quality built better than a house.  Polished tiles throughout, intercom and a large backyard are the key features that make this granny flat stand out above the rest.  Close to schools...",http://www.domain.com.au/8a-kookaburra-street-greystanes-nsw-2145-11968106,Agency,7 Days Real Estate,"Ara  Alajajian, Roy Nassr"
SemiDetached,$420 per week,PENDLE HILL,2145,"88A Bombala Street, Pendle Hill",2.0,1.0,1,BRAND NEW 2 BEDROOM GRANNY FLAT!!!!,"Century 21 Eternity presents to you this spacious Brand new 2 bedroom granny flat on one of the most vital roads in Pendle Hill. Offering the perfect blend of convenience, luxury and affordability, this property is centrally located close ...",http://www.domain.com.au/88a-bombala-street-pendle-hill-nsw-2145-13970032,Agency,Century 21 Eternity,C21 Eternity Rentals Team
Villa,$400 PW,SOUTH WENTWORTHVILLE,2145,"18A2 Hampden Road, South Wentworthville",2.0,1.0,1,Lovely Two Bedroom Villa For A Great Price!!,"We invite you to inspect this modern and bright two bedroom villa with features such as, Large combined lounge and dining area that is tiled throughout, modern kitchen with electric cooking and ample cupboard space, modern and spacious bat...",http://www.domain.com.au/18a2-hampden-road-south-wentworthville-nsw-2145-13963465,Agency,Laing+Simmons Wentworthville,Rental Enquiries
